Country,Measure,Score
 Norway,Basic Human Needs,96.85
 Denmark,Basic Human Needs,96.11
 Finland,Basic Human Needs,96.22
 New Zealand,Basic Human Needs,97.22
 Sweden,Basic Human Needs,96.58
  Switzerland,Basic Human Needs,96.78
 Canada,Basic Human Needs,97.03
 Australia,Basic Human Needs,97.25
 Iceland,Basic Human Needs,98.07
 Netherlands,Basic Human Needs,96.48
 Germany,Basic Human Needs,96.14
 Ireland,Basic Human Needs,96.32
 Japan,Basic Human Needs,97.78
 Norway,Foundation of Wellbeing,93.39
 Denmark,Foundation of Wellbeing,91.58
 Finland,Foundation of Wellbeing,91.29
 New Zealand,Foundation of Wellbeing,92.57
 Sweden,Foundation of Wellbeing,91.03
  Switzerland,Foundation of Wellbeing,91.99
 Canada,Foundation of Wellbeing,90.88
 Australia,Foundation of Wellbeing,91.07
 Iceland,Foundation of Wellbeing,92.81
 Netherlands,Foundation of Wellbeing,91.18
 Germany,Foundation of Wellbeing,89.02
 Ireland,Foundation of Wellbeing,90.03
 Japan,Foundation of Wellbeing,92.15
 Norway,Opportunity,87.95
 Denmark,Opportunity,88.66
 Finland,Opportunity,88.15
 New Zealand,Opportunity,85.13
 Sweden,Opportunity,87.23
  Switzerland,Opportunity,85.49
 Canada,Opportunity,86.31
 Australia,Opportunity,85.55
 Iceland,Opportunity,82.39
 Netherlands,Opportunity,85.53
 Germany,Opportunity,86.53
 Ireland,Opportunity,84.7
 Japan,Opportunity,80.5
