Country,Rank,Score,Basic Human Needs,Foundation of Wellbeing,Opportunity
 Norway,1,92.73,96.85,93.39,87.95
 Denmark,2,92.11,96.11,91.58,88.66
 Finland,3,91.89,96.22,91.29,88.15
 New Zealand,4,91.64,97.22,92.57,85.13
 Sweden,5,91.62,96.58,91.03,87.23
  Switzerland,6,91.42,96.78,91.99,85.49
 Canada,7,91.4,97.03,90.88,86.31
 Australia,8,91.29,97.25,91.07,85.55
 Iceland,9,91.09,98.07,92.81,82.39
 Netherlands,10,91.06,96.48,91.18,85.53
 Germany,11,90.56,96.14,89.02,86.53
 Ireland,12,90.35,96.32,90.03,84.7
 Japan,13,90.14,97.78,92.15,80.5
