Country Name,Country Code,Region,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Latin America & Caribbean,,,,,,,
Afghanistan,AFG,South Asia,9,9,9,9,9,10,10
Angola,AGO,Sub-Saharan Africa,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,7,6,6,6,8,8,8
Andorra,AND,Europe & Central Asia,,,,,,,
United Arab Emirates,ARE,Middle East & North Africa,2,2,2,2,2,6,6
Argentina,ARG,Latin America & Caribbean,2,2,2,2,2,2,2
Armenia,ARM,Europe & Central Asia,4,4,4,6,6,6,6
American Samoa,ASM,East Asia & Pacific,,,,,,,
Antigua and Barbuda,ATG,Latin America & Caribbean,5,5,5,5,5,5,5
Australia,AUS,East Asia & Pacific,11,11,11,11,11,11,11
Austria,AUT,Europe & Central Asia,4,4,4,4,4,4,4
Azerbaijan,AZE,Europe & Central Asia,2,2,2,2,2,8,12
Burundi,BDI,Sub-Saharan Africa,2,2,2,2,2,2,2
Belgium,BEL,Europe & Central Asia,4,4,4,4,4,8,8
Benin,BEN,Sub-Saharan Africa,6,6,6,6,6,6,6
Burkina Faso,BFA,Sub-Saharan Africa,6,6,6,6,6,6,6
Bangladesh,BGD,South Asia,5,5,5,5,5,5,5
Bulgaria,BGR,Europe & Central Asia,8,8,8,8,8,8,8
Bahrain,BHR,Middle East & North Africa,1,1,1,1,1,1,3
"Bahamas, The",BHS,Latin America & Caribbean,6,6,6,6,6,6,6
Bosnia and Herzegovina,BIH,Europe & Central Asia,7,7,7,7,7,7,7
Belarus,BLR,Europe & Central Asia,1,1,1,1,3,3,3
Belize,BLZ,Latin America & Caribbean,4,4,4,4,4,4,4
Bermuda,BMU,North America,,,,,,,
Bolivia,BOL,Latin America & Caribbean,0,0,0,0,0,0,0
Brazil,BRA,Latin America & Caribbean,2,2,2,2,2,2,2
Barbados,BRB,Latin America & Caribbean,6,6,6,6,6,6,6
Brunei Darussalam,BRN,East Asia & Pacific,4,4,4,5,12,12,12
Bhutan,BTN,South Asia,4,4,4,4,4,4,4
Botswana,BWA,Sub-Saharan Africa,5,5,5,5,5,5,5
Central African Republic,CAF,Sub-Saharan Africa,6,6,6,6,6,6,6
Canada,CAN,North America,9,9,9,9,9,9,9
Switzerland,CHE,Europe & Central Asia,6,6,6,6,6,6,6
Channel Islands,CHI,Europe & Central Asia,,,,,,,
Chile,CHL,Latin America & Caribbean,4,4,4,4,4,4,4
China,CHN,East Asia & Pacific,4,4,4,4,4,4,4
Cote d'Ivoire,CIV,Sub-Saharan Africa,6,6,6,6,6,6,6
Cameroon,CMR,Sub-Saharan Africa,6,6,6,6,6,6,6
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,6,6,6,6,6,6,6
"Congo, Rep.",COG,Sub-Saharan Africa,6,6,6,6,6,6,6
Colombia,COL,Latin America & Caribbean,3,11,11,11,11,11,11
Comoros,COM,Sub-Saharan Africa,6,6,6,6,6,6,6
Cabo Verde,CPV,Sub-Saharan Africa,1,1,1,1,1,1,1
Costa Rica,CRI,Latin America & Caribbean,2,2,10,10,10,10,10
Cuba,CUB,Latin America & Caribbean,,,,,,,
Curacao,CUW,Latin America & Caribbean,,,,,,,
Cayman Islands,CYM,Latin America & Caribbean,,,,,,,
Cyprus,CYP,Europe & Central Asia,7,7,7,7,7,7,7
Czech Republic,CZE,Europe & Central Asia,5,7,7,7,7,7,7
Germany,DEU,Europe & Central Asia,6,6,6,6,6,6,6
Djibouti,DJI,Middle East & North Africa,1,1,1,1,1,5,8
Dominica,DMA,Latin America & Caribbean,6,6,6,6,6,6,6
Denmark,DNK,Europe & Central Asia,8,8,8,8,8,8,8
Dominican Republic,DOM,Latin America & Caribbean,1,1,1,1,1,1,1
Algeria,DZA,Middle East & North Africa,2,2,2,2,2,2,2
Ecuador,ECU,Latin America & Caribbean,1,1,1,1,1,1,1
"Egypt, Arab Rep.",EGY,Middle East & North Africa,2,2,2,2,2,5,5
Eritrea,ERI,Sub-Saharan Africa,0,0,0,0,0,0,0
Spain,ESP,Europe & Central Asia,5,5,5,5,5,5,5
Estonia,EST,Europe & Central Asia,7,7,7,7,7,7,7
Ethiopia,ETH,Sub-Saharan Africa,3,3,3,3,3,3,3
Finland,FIN,Europe & Central Asia,6,6,6,6,6,6,6
Fiji,FJI,East Asia & Pacific,5,5,5,5,5,5,5
France,FRA,Europe & Central Asia,4,4,4,4,4,4,4
Faroe Islands,FRO,Europe & Central Asia,,,,,,,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,10,10,10,10,10,10,10
Gabon,GAB,Sub-Saharan Africa,6,6,6,6,6,6,6
United Kingdom,GBR,Europe & Central Asia,7,7,7,7,7,7,7
Georgia,GEO,Europe & Central Asia,9,9,9,9,9,9,9
Ghana,GHA,Sub-Saharan Africa,6,6,6,6,6,6,6
Gibraltar,GIB,Europe & Central Asia,,,,,,,
Guinea,GIN,Sub-Saharan Africa,6,6,6,6,6,6,6
